568191544764674048,Pak_JK,Selamat tahun baru Imlek 2566. Semoga senantiasa diberi kesehatan,kedamaian dan kebahagiaan bersama keluarga. Gong Xi Fa Cai,2015-02-19 06:33:15,null
568014031006511104,Pak_JK,Berdiskusi sebelum jumpa pers di Istana Negara Jakarta siang tadi 18/2 http://t.co/wIR0ArfEsj,2015-02-18 18:47:52,null
567961615158546433,Pak_JK,Mendampingi Presiden Jokowi jumpa pers di Istana Merdeka, Jakarta 18/2 http://t.co/Xwi5PJaPLl,2015-02-18 15:19:35,null
567846557376065537,Pak_JK,Membuka Musyawarah Nasional ke-16 PHRI di Jakarta http://t.co/nl5LvVZ5R6 http://t.co/71hduGh0fa,2015-02-18 07:42:24,null
567846162541101056,Pak_JK,Menerima Duta Besar Kerajaan Norwegia untuk Indonesia Stig Traavik. http://t.co/Vk37SWYYQp http://t.co/v2I2tLYXY6,2015-02-18 07:40:49,null
567196202353971200,Pak_JK,Mendampingi Presiden Jokowi, rapat terbatas ,di Istana Kepresidenan Bogor http://t.co/VCaWOkn6Jn,2015-02-16 12:38:07,null
567145433374277632,Pak_JK,Membuka Mukernas PMI di Jakarta http://t.co/VTPo8emO9K,2015-02-16 09:16:23,null
566208575584739330,Pak_JK,Wawancara Primetime Metro tv http://t.co/7CDhz23GCc,2015-02-13 19:13:38,null
566081532167606273,Pak_JK,Mendampingi Presiden bertemu Bupati dan Walikota Wilayah Jawa dan Maluku di Istana Bogor http://t.co/vkkBdj53jQ,2015-02-13 10:48:49,null
565813968908726272,Pak_JK,Menerima kunjungan Duta Besar Turki untuk Indonesia Zekeriya Akcam di Kantor Wakil Presiden,http://t.co/YXrVTexirW http://t.co/Clmna23mfk,2015-02-12 17:05:37,null
565801245667893249,Pak_JK,RT @UKinIndonesia: Indonesian Vice President @Pak_JK addressed the concluding session of the @WiltonPark conference in Jakarta. @ASEAN http…,2015-02-12 16:15:03,null
565371122800394241,Pak_JK,Memimpin Prosesi pelepasan Jenazah Alm Andi Oddang (Gubernur Sulsel Periode 1978-1983)Innalillahi waina ilaihi rojiun http://t.co/izlngxpyOt,2015-02-11 11:45:54,null
565089896172236800,Pak_JK,Peninjauan ke Kantor Tim Nasional Percepatan Penanggulangan Kemiskinan (TNP2K) http://t.co/CB54x74AFn http://t.co/lXIVa0BNOR,2015-02-10 17:08:24,null
564975637480235008,Pak_JK,Berbincang sebelum ratas dengan Presiden http://t.co/MWjCqK9oUT,2015-02-10 09:34:23,null
564715305029476352,Pak_JK,Memberi sambutan pada puncak Peringatan Hari Pers Nasional 2015 di Batam http://t.co/LjQ4U6MeKH,2015-02-09 16:19:55,null
564709614856306688,Pak_JK,Selamat bertugas,jaga kesehatan & tetap semangat ! @PMI_JakBar: @PMI_DKI_Jakarta @PMI_JakSel @PMIJakartaUtara @pmijakartatimur @palangmerah,2015-02-09 15:57:18,null
588230711326416896,Pak_JK,11. Indonesia juga menyampaikan pemikiran tentang perlunya negara anggota OKI mengambil inisiatif solusi damai,2015-04-15 13:41:45,null
588230276666548225,Pak_JK,10. Indonesia meyakini bahwa persatuan Islam akan dapat berkontribusi bagi perdamaian dan kesejahteraan dunia.,2015-04-15 13:40:01,null
588229749312454657,Pak_JK,9. Indonesia mendorong smua pihak yg bertikai menahan diri srta berupaya menyelesaikan mslh secara damai dg mengedepankan diplomasi & dialog,2015-04-15 13:37:55,null
588229382218637312,Pak_JK,8. Kita juga melihat terus terjadinya korban sipil dalam berbagai konflik dan krisis yang berkecamuk di kawasan ini.,2015-04-15 13:36:28,null
588228191396978689,Pak_JK,8. Kita juga melihat terus terjadinya korban sipil dalam berbagai konflik dan krisis yang berkecamuk di kawasan ini,2015-04-15 13:31:44,null
